,chars,numbers,frequencies
92,e∆,10,0.0035398230088495575
93,o∑,10,0.0035398230088495575
94,eo,10,0.0035398230088495575
95,t∫,9,0.003185840707964602
96,˚a,9,0.003185840707964602
97,ab,9,0.003185840707964602
98,∑≈,9,0.003185840707964602
99,a≠,9,0.003185840707964602
100,≠t,9,0.003185840707964602
101,ch,9,0.003185840707964602
102,ƒt,9,0.003185840707964602
103,πc,9,0.003185840707964602
104,≈√,9,0.003185840707964602
105,e≈,9,0.003185840707964602
106,œ≥,8,0.002831858407079646
107,a∑,8,0.002831858407079646
108,∑e,8,0.002831858407079646
109,ƒb,8,0.002831858407079646
110,∑o,8,0.002831858407079646
111,≥t,8,0.002831858407079646
112,≥a,8,0.002831858407079646
113,≥œ,8,0.002831858407079646
114,wh,8,0.002831858407079646
115,h√,8,0.002831858407079646
116,eπ,8,0.002831858407079646
117,∆π,8,0.002831858407079646
118,q≥,8,0.002831858407079646
119,ck,8,0.002831858407079646
120,®ƒ,7,0.00247787610619469
121,≥«,7,0.00247787610619469
122,bπ,7,0.00247787610619469
123,π∑,7,0.00247787610619469
124,ct,7,0.00247787610619469
125,t√,7,0.00247787610619469
126,√≥,7,0.00247787610619469
127,∫c,7,0.00247787610619469
128,o≤,7,0.00247787610619469
129,c≥,7,0.00247787610619469
130,e«,7,0.00247787610619469
131,≤π,7,0.00247787610619469
132,o®,6,0.0021238938053097347
133,ƒ∫,6,0.0021238938053097347
134,®a,6,0.0021238938053097347
135,≤≥,6,0.0021238938053097347
136,®œ,6,0.0021238938053097347
137,ba,6,0.0021238938053097347
138,ca,6,0.0021238938053097347
139,≠o,6,0.0021238938053097347
140,∑a,6,0.0021238938053097347
141,˚e,6,0.0021238938053097347
142,∆t,6,0.0021238938053097347
143,∫b,6,0.0021238938053097347
144,tc,6,0.0021238938053097347
145,π≤,6,0.0021238938053097347
146,π∆,6,0.0021238938053097347
147,π√,6,0.0021238938053097347
148,wa,6,0.0021238938053097347
149,ht,6,0.0021238938053097347
150,«≈,6,0.0021238938053097347
151,ke,6,0.0021238938053097347
152,ho,6,0.0021238938053097347
153,œπ,6,0.0021238938053097347
154,oe,6,0.0021238938053097347
155,π˚,6,0.0021238938053097347
156,oz,6,0.0021238938053097347
157,˚h,6,0.0021238938053097347
158,∫∆,6,0.0021238938053097347
159,≠e,5,0.0017699115044247787
160,ob,5,0.0017699115044247787
161,t®,5,0.0017699115044247787
162,e∑,5,0.0017699115044247787
163,≠w,5,0.0017699115044247787
164,πe,5,0.0017699115044247787
165,œo,5,0.0017699115044247787
166,∫≈,5,0.0017699115044247787
167,eh,5,0.0017699115044247787
168,∆e,5,0.0017699115044247787
169,≈o,5,0.0017699115044247787
170,≠∆,5,0.0017699115044247787
171,o≈,5,0.0017699115044247787
172,˚∫,5,0.0017699115044247787
173,œ∑,5,0.0017699115044247787
174,≈e,5,0.0017699115044247787
175,√®,4,0.001415929203539823
176,t≥,4,0.001415929203539823
177,≠π,4,0.001415929203539823
178,oa,4,0.001415929203539823
179,a≈,4,0.001415929203539823
180,c≤,4,0.001415929203539823
181,∫ƒ,4,0.001415929203539823
182,a≥,4,0.001415929203539823
183,eq,4,0.001415929203539823
184,∫√,4,0.001415929203539823
185,c®,4,0.001415929203539823
186,∆a,4,0.001415929203539823
187,®t,4,0.001415929203539823
188,ƒœ,4,0.001415929203539823
189,∑∫,4,0.001415929203539823
190,b®,4,0.001415929203539823
191,bo,4,0.001415929203539823
192,œ≠,3,0.0010619469026548673
193,œ√,3,0.0010619469026548673
194,∫∑,3,0.0010619469026548673
195,πb,3,0.0010619469026548673
196,ez,3,0.0010619469026548673
197,√≤,3,0.0010619469026548673
198,h≥,3,0.0010619469026548673
199,∫≠,3,0.0010619469026548673
200,≈≈,3,0.0010619469026548673
201,w∫,3,0.0010619469026548673
202,∑π,3,0.0010619469026548673
203,e˚,3,0.0010619469026548673
204,∑∑,3,0.0010619469026548673
205,kœ,3,0.0010619469026548673
206,wœ,3,0.0010619469026548673
207,b≠,3,0.0010619469026548673
208,≠a,3,0.0010619469026548673
209,√∑,3,0.0010619469026548673
210,k∫,3,0.0010619469026548673
211,oh,3,0.0010619469026548673
212,∫w,3,0.0010619469026548673
213,e≥,3,0.0010619469026548673
214,≥π,3,0.0010619469026548673
215,√ƒ,3,0.0010619469026548673
216,e≠,3,0.0010619469026548673
217,≥≈,3,0.0010619469026548673
218,t≤,3,0.0010619469026548673
219,≥b,3,0.0010619469026548673
220,zƒ,3,0.0010619469026548673
221,tœ,3,0.0010619469026548673
222,b√,3,0.0010619469026548673
223,˚®,2,0.0007079646017699115
224,∫˚,2,0.0007079646017699115
225,≠c,2,0.0007079646017699115
226,œc,2,0.0007079646017699115
227,cπ,2,0.0007079646017699115
228,«t,2,0.0007079646017699115
229,«a,2,0.0007079646017699115
230,√˚,2,0.0007079646017699115
231,œk,2,0.0007079646017699115
232,∑h,2,0.0007079646017699115
233,œ≈,2,0.0007079646017699115
234,≈t,2,0.0007079646017699115
235,π«,2,0.0007079646017699115
236,≠k,2,0.0007079646017699115
237,˚∆,2,0.0007079646017699115
238,a˚,2,0.0007079646017699115
239,˚o,2,0.0007079646017699115
240,tb,2,0.0007079646017699115
241,o˚,2,0.0007079646017699115
242,c∫,2,0.0007079646017699115
243,oc,2,0.0007079646017699115
244,a≤,2,0.0007079646017699115
245,∆®,2,0.0007079646017699115
246,aw,2,0.0007079646017699115
247,o≠,2,0.0007079646017699115
248,˚ƒ,2,0.0007079646017699115
249,tƒ,2,0.0007079646017699115
250,ƒc,2,0.0007079646017699115
251,˚w,2,0.0007079646017699115
252,≈∫,2,0.0007079646017699115
253,∆∆,2,0.0007079646017699115
254,«∫,2,0.0007079646017699115
255,ak,2,0.0007079646017699115
256,kπ,2,0.0007079646017699115
257,ƒ≥,2,0.0007079646017699115
258,≥c,2,0.0007079646017699115
259,ƒƒ,2,0.0007079646017699115
260,≤a,2,0.0007079646017699115
261,πa,2,0.0007079646017699115
262,ƒ∆,2,0.0007079646017699115
263,∆≥,2,0.0007079646017699115
264,∆b,2,0.0007079646017699115
265,√c,2,0.0007079646017699115
266,®≈,2,0.0007079646017699115
267,≈π,2,0.0007079646017699115
268,hb,2,0.0007079646017699115
269,√≈,2,0.0007079646017699115
270,∆√,2,0.0007079646017699115
271,c≠,2,0.0007079646017699115
272,∫®,1,0.00035398230088495576
273,«≥,1,0.00035398230088495576
274,≠œ,1,0.00035398230088495576
275,«ƒ,1,0.00035398230088495576
276,≥ø,1,0.00035398230088495576
277,øa,1,0.00035398230088495576
278,√≠,1,0.00035398230088495576
279,√z,1,0.00035398230088495576
280,aø,1,0.00035398230088495576
281,øo,1,0.00035398230088495576
282,ko,1,0.00035398230088495576
283,«e,1,0.00035398230088495576
284,aƒ,1,0.00035398230088495576
285,ƒ∑,1,0.00035398230088495576
286,ƒ√,1,0.00035398230088495576
287,∆c,1,0.00035398230088495576
288,«b,1,0.00035398230088495576
289,œ®,1,0.00035398230088495576
290,∑q,1,0.00035398230088495576
291,ek,1,0.00035398230088495576
292,ƒw,1,0.00035398230088495576
293,wπ,1,0.00035398230088495576
294,∆∫,1,0.00035398230088495576
295,∑t,1,0.00035398230088495576
296,˚c,1,0.00035398230088495576
297,œb,1,0.00035398230088495576
298,√w,1,0.00035398230088495576
299,w≈,1,0.00035398230088495576
300,∫œ,1,0.00035398230088495576
301,œ∆,1,0.00035398230088495576
302,≥o,1,0.00035398230088495576
303,t≈,1,0.00035398230088495576
304,hœ,1,0.00035398230088495576
305,˚≈,1,0.00035398230088495576
306,ww,1,0.00035398230088495576
307,√k,1,0.00035398230088495576
308,≈w,1,0.00035398230088495576
309,w∆,1,0.00035398230088495576
310,kb,1,0.00035398230088495576
311,≠√,1,0.00035398230088495576
312,t∆,1,0.00035398230088495576
313,hq,1,0.00035398230088495576
314,˚∑,1,0.00035398230088495576
315,˚t,1,0.00035398230088495576
316,®q,1,0.00035398230088495576
317,œø,1,0.00035398230088495576
318,ø≥,1,0.00035398230088495576
319,≠≤,1,0.00035398230088495576
320,∆≠,1,0.00035398230088495576
321,≈∑,1,0.00035398230088495576
322,∑≥,1,0.00035398230088495576
323,π≈,1,0.00035398230088495576
324,πk,1,0.00035398230088495576
325,πz,1,0.00035398230088495576
326,®w,1,0.00035398230088495576
327,√q,1,0.00035398230088495576
328,ƒz,1,0.00035398230088495576
329,w®,1,0.00035398230088495576
330,kt,1,0.00035398230088495576
331,≠˚,1,0.00035398230088495576
332,®c,1,0.00035398230088495576
333,ah,1,0.00035398230088495576
334,∫z,1,0.00035398230088495576
335,≠≈,1,0.00035398230088495576
336,≈ƒ,1,0.00035398230088495576
337,∫h,1,0.00035398230088495576
338,≤o,1,0.00035398230088495576
339,œw,1,0.00035398230088495576
340,∑b,1,0.00035398230088495576
341,˚≥,1,0.00035398230088495576
342,≥e,1,0.00035398230088495576
343,≠h,1,0.00035398230088495576
344,ao,1,0.00035398230088495576
345,t∑,1,0.00035398230088495576
346,≠b,1,0.00035398230088495576
347,√œ,1,0.00035398230088495576
348,≤≈,1,0.00035398230088495576
349,≈œ,1,0.00035398230088495576
350,√b,1,0.00035398230088495576
351,ƒh,1,0.00035398230088495576
352,œh,1,0.00035398230088495576
353,w√,1,0.00035398230088495576
354,∑w,1,0.00035398230088495576
355,ƒ˚,1,0.00035398230088495576
356,ew,1,0.00035398230088495576
357,wt,1,0.00035398230088495576
358,≈≥,1,0.00035398230088495576
